growth_mode,N,theta,initial_density_t,distribution,alpha,p_exceed_cond,p_exceed_uncond,n_fire,n_post
uniform,128,2000.0,0.5,gradient,0.05,0.38201447708706776,0.1744875,146162,320000
uniform,128,2000.0,0.5,gradient,0.1,0.3392537047933115,0.15495625,146162,320000
uniform,128,1000.0,0.5,gradient,0.05,0.3086042726054826,0.13389375,138838,320000
uniform,128,1000.0,0.5,gradient,0.1,0.24639507915700312,0.106903125,138838,320000
uniform,128,500.0,0.5,gradient,0.05,0.23427007463021401,0.0979,133726,320000
uniform,128,500.0,0.5,gradient,0.1,0.15433049668725604,0.06449375,133726,320000
uniform,128,1000.0,0.5,clustered,0.05,0.3069569414527667,0.133153125,138811,320000
uniform,128,1000.0,0.5,clustered,0.1,0.24572260123477246,0.106590625,138811,320000
uniform,128,3000.0,0.5,uniform,0.05,0.43684984866259213,0.21063125,154291,320000
uniform,128,3000.0,0.5,uniform,0.1,0.40634904174579206,0.195925,154291,320000
uniform,128,2000.0,0.5,uniform,0.05,0.38201447708706776,0.1744875,146162,320000
uniform,128,2000.0,0.5,uniform,0.1,0.3392537047933115,0.15495625,146162,320000
uniform,128,250.0,0.5,uniform,0.05,0.15092609007314686,0.061190625,129739,320000
uniform,128,250.0,0.5,uniform,0.1,0.06906943941297528,0.028003125,129739,320000
uniform,128,2000.0,0.5,clustered,0.05,0.3828308167631599,0.175021875,146297,320000
uniform,128,2000.0,0.5,clustered,0.1,0.3402598822942371,0.155559375,146297,320000
uniform,128,3000.0,0.5,gradient,0.05,0.43684984866259213,0.21063125,154291,320000
uniform,128,3000.0,0.5,gradient,0.1,0.40634904174579206,0.195925,154291,320000
uniform,128,500.0,0.5,clustered,0.05,0.23390206935878388,0.09741875,133278,320000
uniform,128,500.0,0.5,clustered,0.1,0.15561458005072104,0.0648125,133278,320000
uniform,128,500.0,0.5,uniform,0.05,0.23506008869345418,0.098225,133719,320000
uniform,128,500.0,0.5,uniform,0.1,0.1551088476581488,0.064815625,133719,320000
uniform,128,2000.0,0.5,stripes,0.05,0.38201447708706776,0.1744875,146162,320000
uniform,128,2000.0,0.5,stripes,0.1,0.3392537047933115,0.15495625,146162,320000
uniform,128,3000.0,0.5,stripes,0.05,0.43684984866259213,0.21063125,154291,320000
uniform,128,3000.0,0.5,stripes,0.1,0.40634904174579206,0.195925,154291,320000
uniform,128,500.0,0.5,stripes,0.05,0.2343792081874495,0.097903125,133668,320000
uniform,128,500.0,0.5,stripes,0.1,0.1549510728072538,0.064725,133668,320000
uniform,128,1000.0,0.5,uniform,0.05,0.3086042726054826,0.13389375,138838,320000
uniform,128,1000.0,0.5,uniform,0.1,0.24639507915700312,0.106903125,138838,320000
uniform,128,250.0,0.5,clustered,0.05,0.1520491297370695,0.0615875,129616,320000
uniform,128,250.0,0.5,clustered,0.1,0.06871836810270338,0.027834375,129616,320000
uniform,128,250.0,0.5,gradient,0.05,0.15076429980276135,0.06115,129792,320000
uniform,128,250.0,0.5,gradient,0.1,0.06902582593688363,0.027996875,129792,320000
uniform,128,250.0,0.5,stripes,0.05,0.1512037037037037,0.0612375,129600,320000
uniform,128,250.0,0.5,stripes,0.1,0.06823302469135803,0.027634375,129600,320000
uniform,128,1000.0,0.5,stripes,0.05,0.3086042726054826,0.13389375,138838,320000
uniform,128,1000.0,0.5,stripes,0.1,0.24639507915700312,0.106903125,138838,320000
uniform,128,3000.0,0.5,clustered,0.05,0.43910241821693075,0.21103125,153791,320000
uniform,128,3000.0,0.5,clustered,0.1,0.409029136945595,0.196578125,153791,320000
uniform,128,1000.0,0.55,clustered,0.05,0.3069569414527667,0.133153125,138811,320000
uniform,128,1000.0,0.55,clustered,0.1,0.24572260123477246,0.106590625,138811,320000
uniform,128,250.0,0.55,stripes,0.05,0.1515556241797267,0.061346875,129530,320000
uniform,128,250.0,0.55,stripes,0.1,0.06955145526132943,0.028153125,129530,320000
uniform,128,3000.0,0.55,clustered,0.05,0.43910241821693075,0.21103125,153791,320000
uniform,128,3000.0,0.55,clustered,0.1,0.409029136945595,0.196578125,153791,320000
uniform,128,250.0,0.55,gradient,0.05,0.15050169805495522,0.060934375,129560,320000
uniform,128,250.0,0.55,gradient,0.1,0.06914171040444582,0.02799375,129560,320000
uniform,128,1000.0,0.55,gradient,0.05,0.3086042726054826,0.13389375,138838,320000
uniform,128,1000.0,0.55,gradient,0.1,0.24639507915700312,0.106903125,138838,320000
uniform,128,1000.0,0.55,uniform,0.05,0.3086042726054826,0.13389375,138838,320000
uniform,128,1000.0,0.55,uniform,0.1,0.24639507915700312,0.106903125,138838,320000
uniform,128,3000.0,0.55,uniform,0.05,0.43684984866259213,0.21063125,154291,320000
uniform,128,3000.0,0.55,uniform,0.1,0.40634904174579206,0.195925,154291,320000
uniform,128,250.0,0.55,clustered,0.05,0.15042815412006813,0.060990625,129743,320000
uniform,128,250.0,0.55,clustered,0.1,0.06898252699567607,0.02796875,129743,320000
uniform,128,250.0,0.55,uniform,0.05,0.1511706047287642,0.061159375,129463,320000
uniform,128,250.0,0.55,uniform,0.1,0.06876868294416165,0.027821875,129463,320000
uniform,128,500.0,0.55,clustered,0.05,0.23390206935878388,0.09741875,133278,320000
uniform,128,500.0,0.55,clustered,0.1,0.15561458005072104,0.0648125,133278,320000
uniform,128,3000.0,0.55,stripes,0.05,0.43684984866259213,0.21063125,154291,320000
uniform,128,3000.0,0.55,stripes,0.1,0.40634904174579206,0.195925,154291,320000
uniform,128,2000.0,0.55,gradient,0.05,0.38201447708706776,0.1744875,146162,320000
uniform,128,2000.0,0.55,gradient,0.1,0.3392537047933115,0.15495625,146162,320000
